objectid,parentid,Notes,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,,,,image_alt_text,object_transcript,extra
at_011,,,Glass sphere on Wood Base,,,This may be a discharge tube.,Modern_Physics,,Storage Location H1b,,,,at_011,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_011.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_011_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_011_THUMB.jpg,,,
at_019,,,Electrolysis Apparatus,,,,Modern_Physics,,,,,,at_019,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/at_019.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_019_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/at_019_THUMB.jpg,,,
bd_001,,,Goodnow Hall,,,"Located on the Grinnell College campus and constructed in 1885, Goodnow Hall was the first building constructed after the devasting tornado of 1882. Goodnow was built with quartzite rock, at the time a rare material. The architect was Stephen C. Earle; E.A. Goodnow provided the $10,000 required for the construction. 
 
 
 
 Initially designed as a library and observatory, it became the home of the physics and mathematics departments following the construction of the Carnegie library in 1904. A wooden cornice from the original library is on display in the Physics Museum
 
 
 
 The dome on the tower of Goodnow housed the Hsieh telescope, an Alvan Clark eight-inch refracting instrument. Two precision Seth Thomas clocks, one set on sideral time and the second on solar time, in conjunction with a Fauth transit telescope, a Fauth chronograph, provided accurate timekeeping. The eight-inch objective lens on display in the museum is the only remaining remnant of the telescope.
 
 
 
 The small transit hut with the slotted roof beside Goodnow contained the transit telescope with telegraph connections to the Goodnow clock room with its two precision clocks and chronograph. All are on display in the museum. The Warner-Swasey filar micrometer used with the Hsieh telescope is also displayed in the museum.
 
 
 
 In 1926 leakage problems forced the removal of the tower observatory dome and astronomy disappeared from Grinnell's curriculum until the 1960's. The current Grant O. Gale observatory with its 24-inch telescope was dedicated in 1984.
 
 
 
 After the physics department moved to the new Science Building, Goodhow housed the psychology department from 1954 until 1988. Following a major restoration project in xxx which included replacing the limestone belts on the tower, the anthropology department moved to Goodnow. In 2019 after the anthropology department moved to the new Humanities and Social Sciences Center, Goodnow awaits its next occupant. | https://map.concept3d.com/?id=1232#!ce/34272?s/goodnow%20?ct/36684,34270,0 Location of Goodnow Hall, Campus Map | http://hdl.handle.net/11084/3221 Professor Waldo Walker's History of Goodnow Hall",Buildings,,,,,,bd_001,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/bd_001.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/bd_001_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/bd_001_THUMB.jpg,,,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/d09c164cf2b3ed8daa4121ef88ee400484df08ad.jpg
dc_001,,Missing,Display Case Map,,,,Documents,LocalMap,,,,,dc_001,image,image/jpg,,,,image,,,,,,
em_001,,,Potentiometer,Leeds and Northrup Co.,,Serial No. 26686,Electricity_and_Magnetism,Potentiometers,,,,,em_001,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_001.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_001_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_001_THUMB.jpg,,,
em_002,,,Post Office Bridge with Meter,,,"This is a Wheatstone bridge designed to locate a short circuit in a telephone or telegraph line by measuring the resistance of the wire to the short. It is called a ""post office bridge"" because this design was adopted by the British Post Office, which operated telegraph and telephone services as well as delivered mail. This bridge, which is in a box, has a built-in galvanometer. The upper plugs determine a ratio and the lower rows are a standard resistance.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_002,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_002.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_002_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_002_THUMB.jpg,,,
em_003,,,Line Test Set,Leeds and Northrup Co.,,Test Set No. 5300,Electricity_and_Magnetism,,Display Case H1,,,,em_003,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_003.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_003_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_003_THUMB.jpg,,,
em_004,,,Capacity Bridge,Western Electric Co.,,,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_004,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_004.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_004_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_004_THUMB.jpg,,,
em_005,,,Double Bridge,Leeds and Northrup Co.,,Serial No.. 169623,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_005,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_005.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_005_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_005_THUMB.jpg,,,
em_006,,,Kohlrausch Wire,James G. Biddle Co.,,A Kohlrausch wire is a uniform wire wound on a form with a slider which moves along the wire. It can be used as part of a Wheatstone bridge or a potentiometer. This wire was made in Germany and imported by James G. Biddle. Its resistance is 195 ohms. The form is marble.,Electricity_and_Magnetism,,Display Case H1,,,,em_006,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_006.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_006_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_006_THUMB.jpg,,,
em_007,,,Post Office Bridge,Leeds and Northrup Co.,,"This is a Wheatstone bridge designed to locate a short circuit in a telephone or telegraph line by measuring the resistance to the short. It gets the name ""post office bridge"" from its adoption by the British Post Office, which operated telegraph and telephone systems in addition to delivering mail. The upper row of plugs determine a ratio and the lower rows are a standard resistance.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_007,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_007.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_007_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_007_THUMB.jpg,,,
em_008,,,Decade Bridge,,,"This decade bridge is a form of Wheatstone bridge, a device to measure electrical resistance. This bridge provides two of the four arms of the complete Wheatstone circuit, and the unknown and a standard resistor had to be added. A battery and galvanometer were also attached externally.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_008,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_008.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_008_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_008_THUMB.jpg,,,
em_010,,,Slide Wire Bridge,Wilkens Anderson Co.,,,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_010,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_010.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_010_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_010_THUMB.jpg,,,
em_015,,,Reflection Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_015,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_015.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_015_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_015_THUMB.jpg,,,
em_016,,,Reflection Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_016,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_016.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_016_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_016_THUMB.jpg,,,
em_017,,,Homemade Tangent Galvanometer,Frank F. Almy,,"At the time Frank Almy began teaching physics at Grinnell College in 1893, the tangent galvanometer was an important part of the equipment of any physics laboratory. This is a tangent galvanometer that Professor Almy made. The date is not known, but it probably was before 1900. The compass in the center is a modern instrument; we do not know what compass Professor Almy used.",Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_017,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_017.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_017_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_017_THUMB.jpg,,,
em_018,,,Galvanometer Telescope Scale,,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_018,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_018.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_018_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_018_THUMB.jpg,,,
em_019,,,Wall Mounted Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_019,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_019.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_019_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_019_THUMB.jpg,,,
em_021,,,Simple Astatic Galvanometer,,,"Astatic means that the instrument is constructed in a way that minimizes the effect of the earth's magnetic field. Electrical current being measured passes through coils and produces a magnetic field which causes the magnetized needle suspended above the card to rotate. Not visible is a second needle, rigidly attached to the one above, which hangs below the card in a region where the magnetic field is the opposite of the field above. That needle has the opposite polarity from the one above, so that the earth's field acting on both needles has negligible effect.",Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_021,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_021.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_021_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_021_THUMB.jpg,,,
em_022,,,Differential Thermopile,,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_022,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_022.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_022_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_022_THUMB.jpg,,,
em_023,,,Galvanometer with Wooden Case,Weston Electric Instrument Co.,,Model 375,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_023,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_023.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_023_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_023_THUMB.jpg,,,
em_024,,,Galvanometer with Wooden Case,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_024,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_024.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_024_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_024_THUMB.jpg,,,
em_025,,,Tangent Galvanometer,James W. Queen & Co.,,"The base of this tangent galvanometer is marked ""Queen & Co., Makers, Phila."" The date of purchase is not known.",Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_025,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_025.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_025_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_025_THUMB.jpg,,,
em_026,,,Homemade Galvanometer,,,,Electricity_and_Magnetism,Galvanometers,Located in display case G1a,,,,em_026,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_026.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_026_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_026_THUMB.jpg,,,
em_027,,,Homemade Galvanometer,Frank F. Almy,,"When Frank Almy came to Grinnell College in 1893 to teach physics, laboratory equipment was not as readily available as it was later. Probably the cost of equipment also placed a severe constraint on purchases. Almy made a number of galvanometers, some of which survive. One of those galvanometers is shown here. It had a mirror attached to small magnets suspended between coils.",Electricity_and_Magnetism,Galvanometers,Located in display case G1a,,,,em_027,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_027.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_027_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_027_THUMB.jpg,,,
em_028,,,Astatic Galvanometer with Glass Dome,,,A galvanometer is a device for detecting electric current. The galvanometer pointer deflection is from electric current passing through a coil immersed in a magnetic field from permanent magnets.,Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_028,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_028.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_028_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_028_THUMB.jpg,,,
em_029,,,Helixon Stand,,1900,"In a listing of physics equipment from around 1900, this device is called a ""Helixon Stand."" The term ""helix"" was used to describe a coil of wire through which an electrical current could be passed in order to magnetize a piece of steel passing through the coil. This appears to be such a helix, and perhaps Helixon was a trade name.",Electricity_and_Magnetism,,Display Case G1a,,,,em_029,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_029.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_029_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_029_THUMB.jpg,,,
em_030,,,Type S Test Set,Leeds and Northrup Co.,,Test Set 5300,Electricity_and_Magnetism,,Display Case G1a,,,,em_030,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_030.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_030_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_030_THUMB.jpg,,,
em_031,,,Galvanometer,GM Laboratories Inc.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_031,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_031.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_031_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_031_THUMB.jpg,,,
em_032,,,Telescope with Scale,The Willyoung and Gibson Co.,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_032,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_032.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_032_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_032_THUMB.jpg,,,
em_034,,,Demonstration Electric Motor,James W. Queen & Co.,,"This demonstration electric motor was purchased from Queen & Company, but the date is not known. Probably it was before 1900.",Electricity_and_Magnetism,,Display Case G1a,,,,em_034,image,image/jpg,,,,image,https://gcsmbstorage.blob.core.windows.net/objs/physics/em_034.JPG,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_034_SMALL.jpg,https://gcsmbstorage.blob.core.windows.net/smalls/physics/em_034_THUMB.jpg,,,
