objectid,parentid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
ac_033_p,,Xylophone Sounding Hammers,,,ac033 through ac_036,Acoustics,,Storage Location H2b,,,,,image,image/jpg,,,,multiple,,,,,,
ac_033,ac_033_p,Xylophone Sounding Hammers,,,ac033 through ac_036,Acoustics,,Storage Location H2b,,,,ac_033,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_033.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_033.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_033.jpg,,,
ac_035,ac_033_p,Percussion Hammers,,,,Acoustics,,Storage Location H2b,,,,,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_035.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_035.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_035.jpg,,,
ac_039,,Metal Organ Pipe,,,,Acoustics,,,,,,ac_039,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_039.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_039.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_039.jpg,,,
ac_042,,Wood Organ Pipes,,,,Acoustics,,Display Case H3,,,,ac_042,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_042.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_042.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_042.jpg,,,
ac_047,,Zither,,,,Acoustics,,Display Case H3,,,,ac_047,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_047.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_047.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_047.jpg,,,
ac_051,,Manometric Flame,,,,Acoustics,,Storage Location H1b,,,,ac_051,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_051.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_051.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_051.jpg,,,
ac_052,,Tuning fork with Wooden Resonator Base,,,,Acoustics,,Storage Location H2b,,,,ac_052,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_052.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_052.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_052.jpg,,,
ac_055,,Two Brass Reflecting Dishes,,,,Acoustics,,Dead Storage Room,,,,ac_055,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_055.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_055.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_055.jpg,,,
ac_056,,Clamped Square and Round Brass Vibrating Plates,,1895,"This apparatus came with the holder and two brass plates, one round and the other square. The plates could be made to vibrate, perhaps by stroking with a violin bow or tapping with a mallet, and the resulting sound examined. They could also be mounted with the plate horizontal. Then if a light powder, such as lycopodium powder, was placed on the plate, the nodes of standing waves in the plate when it was bowed or tapped could be seen in patterns of the powder.",Acoustics,,Display Case H3,,,,ac_056,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/ac_056.jpg,https://dgobjects.blob.core.windows.net/smalls/ac_056.jpg,https://dgobjects.blob.core.windows.net/thumbs/ac_056.jpg,,,
at_002,,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_002,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_002.jpg,https://dgobjects.blob.core.windows.net/smalls/at_002.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_002.jpg,,,
at_003,,Anode Ray Tube,,,,Modern_Physics,,Display Case B1,,,,at_003,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_003.jpg,https://dgobjects.blob.core.windows.net/smalls/at_003.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_003.jpg,,,
at_004,,Electric Egg,James W. Queen & Co.,,"The electric egg is a glass vessel with an electrode at the top and another electrode at the bottom. At the bottom also is a tube with stopcock through which the air in the vessel can be pumped. It is used to demonstrate the production of light by a static electric charge. If the egg is evacuated and then a large static charge is place on the upper electrode, perhaps by connecting it to a static machine, a glow fills the egg. This was once suggested as a way to produce safe illumination in mines, but it was found that the glow does not persist long enough to be useful.
 
 
 
 This instrument was sold by Queen & Co. but probably was manufactured in Europe. The date is unknown.",Modern_Physics,,Display Case B1,,,,at_004,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_004.jpg,https://dgobjects.blob.core.windows.net/smalls/at_004.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_004.jpg,,,
at_005,,Six Fancy Discharge Tubes,,,,Modern_Physics,,Display Case B1,,,,at_005,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_005.jpg,https://dgobjects.blob.core.windows.net/smalls/at_005.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_005.jpg,,,
at_006,,Discharge Tube and Wooden Base,,,Similar to a Crooke's discharge tube.,Modern_Physics,Discharge Tube,Display Case B1,,,,at_006,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_006.jpg,https://dgobjects.blob.core.windows.net/smalls/at_006.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_006.jpg,,,
at_007,,Crooke’s Tube and Base,,,,Modern_Physics,,,,,,at_007,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_007.jpg,https://dgobjects.blob.core.windows.net/smalls/at_007.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_007.jpg,,,
at_008,,Discharge Tube with Collimator,,,,Modern_Physics,,Display Case B1,,,,at_008,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_008.jpg,https://dgobjects.blob.core.windows.net/smalls/at_008.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_008.jpg,,,
at_009,,Rotator For Discharge Tube AT001,,,,Modern_Physics,,Display Case B1,,,,at_009,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_009.jpg,https://dgobjects.blob.core.windows.net/smalls/at_009.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_009.jpg,,,
at_010,,Rotator for Discharge Tube AT001,,,,Modern_Physics,,Display Case B3,,,,at_010,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_010.jpg,https://dgobjects.blob.core.windows.net/smalls/at_010.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_010.jpg,,,
at_011,,Glass sphere on Wood Base,,,This may be a discharge tube.,Modern_Physics,,Storage Location H1b,,,,at_011,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_011.jpg,https://dgobjects.blob.core.windows.net/smalls/at_011.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_011.jpg,,,
at_019,,Electrolysis Apparatus,,,,Modern_Physics,,,,,,at_019,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/at_019.jpg,https://dgobjects.blob.core.windows.net/smalls/at_019.jpg,https://dgobjects.blob.core.windows.net/thumbs/at_019.jpg,,,
bd_001,,Goodnow Hall,,,"Located on the Grinnell College campus and constructed in 1885, Goodnow Hall was the first building constructed after the devasting tornado of 1882. Goodnow was built with quartzite rock, at the time a rare material. The architect was Stephen C. Earle; E.A. Goodnow provided the $10,000 required for the construction. 
 
 
 
 Initially designed as a library and observatory, it became the home of the physics and mathematics departments following the construction of the Carnegie library in 1904. A wooden cornice from the original library is on display in the Physics Museum
 
 
 
 The dome on the tower of Goodnow housed the Hsieh telescope, an Alvan Clark eight-inch refracting instrument. Two precision Seth Thomas clocks, one set on sideral time and the second on solar time, in conjunction with a Fauth transit telescope, a Fauth chronograph, provided accurate timekeeping. The eight-inch objective lens on display in the museum is the only remaining remnant of the telescope.
 
 
 
 The small transit hut with the slotted roof beside Goodnow contained the transit telescope with telegraph connections to the Goodnow clock room with its two precision clocks and chronograph. All are on display in the museum. The Warner-Swasey filar micrometer used with the Hsieh telescope is also displayed in the museum.
 
 
 
 In 1926 leakage problems forced the removal of the tower observatory dome and astronomy disappeared from Grinnell's curriculum until the 1960's. The current Grant O. Gale observatory with its 24-inch telescope was dedicated in 1984.
 
 
 
 After the physics department moved to the new Science Building, Goodhow housed the psychology department from 1954 until 1988. Following a major restoration project in xxx which included replacing the limestone belts on the tower, the anthropology department moved to Goodnow. In 2019 after the anthropology department moved to the new Humanities and Social Sciences Center, Goodnow awaits its next occupant. | https://map.concept3d.com/?id=1232#!ce/34272?s/goodnow%20?ct/36684,34270,0 Location of Goodnow Hall, Campus Map | http://hdl.handle.net/11084/3221 Professor Waldo Walker's History of Goodnow Hall",Buildings,,,,,,bd_001,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/bd_001.jpg,https://dgobjects.blob.core.windows.net/smalls/bd_001.jpg,https://dgobjects.blob.core.windows.net/thumbs/bd_001.jpg,,,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/d09c164cf2b3ed8daa4121ef88ee400484df08ad.jpg
dc_001,,Display Case Map,,,,Documents,LocalMap,,,,,dc_001,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/dc_001.jpg,https://dgobjects.blob.core.windows.net/smalls/dc_001.jpg,https://dgobjects.blob.core.windows.net/thumbs/dc_001.jpg,,,
em_001,,Potentiometer,Leeds and Northrup Co.,,Serial No. 26686,Electricity_and_Magnetism,Potentiometers,,,,,em_001,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_001.jpg,https://dgobjects.blob.core.windows.net/smalls/em_001.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_001.jpg,,,
em_002,,Post Office Bridge with Meter,,,"This is a Wheatstone bridge designed to locate a short circuit in a telephone or telegraph line by measuring the resistance of the wire to the short. It is called a ""post office bridge"" because this design was adopted by the British Post Office, which operated telegraph and telephone services as well as delivered mail. This bridge, which is in a box, has a built-in galvanometer. The upper plugs determine a ratio and the lower rows are a standard resistance.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_002,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_002.jpg,https://dgobjects.blob.core.windows.net/smalls/em_002.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_002.jpg,,,
em_003,,Line Test Set,Leeds and Northrup Co.,,Test Set No. 5300,Electricity_and_Magnetism,,Display Case H1,,,,em_003,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_003.jpg,https://dgobjects.blob.core.windows.net/smalls/em_003.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_003.jpg,,,
em_004,,Capacity Bridge,Western Electric Co.,,,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_004,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_004.jpg,https://dgobjects.blob.core.windows.net/smalls/em_004.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_004.jpg,,,
em_005,,Double Bridge,Leeds and Northrup Co.,,Serial No.. 169623,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_005,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_005.jpg,https://dgobjects.blob.core.windows.net/smalls/em_005.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_005.jpg,,,
em_006,,Kohlrausch Wire,James G. Biddle Co.,,A Kohlrausch wire is a uniform wire wound on a form with a slider which moves along the wire. It can be used as part of a Wheatstone bridge or a potentiometer. This wire was made in Germany and imported by James G. Biddle. Its resistance is 195 ohms. The form is marble.,Electricity_and_Magnetism,,Display Case H1,,,,em_006,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_006.jpg,https://dgobjects.blob.core.windows.net/smalls/em_006.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_006.jpg,,,
em_007,,Post Office Bridge,Leeds and Northrup Co.,,"This is a Wheatstone bridge designed to locate a short circuit in a telephone or telegraph line by measuring the resistance to the short. It gets the name ""post office bridge"" from its adoption by the British Post Office, which operated telegraph and telephone systems in addition to delivering mail. The upper row of plugs determine a ratio and the lower rows are a standard resistance.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_007,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_007.jpg,https://dgobjects.blob.core.windows.net/smalls/em_007.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_007.jpg,,,
em_008,,Decade Bridge,,,"This decade bridge is a form of Wheatstone bridge, a device to measure electrical resistance. This bridge provides two of the four arms of the complete Wheatstone circuit, and the unknown and a standard resistor had to be added. A battery and galvanometer were also attached externally.",Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_008,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_008.jpg,https://dgobjects.blob.core.windows.net/smalls/em_008.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_008.jpg,,,
em_010,,Slide Wire Bridge,Wilkens Anderson Co.,,,Electricity_and_Magnetism,Bridges,Display Case H1,,,,em_010,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_010.jpg,https://dgobjects.blob.core.windows.net/smalls/em_010.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_010.jpg,,,
em_015,,Reflection Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_015,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_015.jpg,https://dgobjects.blob.core.windows.net/smalls/em_015.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_015.jpg,,,
em_016,,Reflection Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_016,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_016.jpg,https://dgobjects.blob.core.windows.net/smalls/em_016.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_016.jpg,,,
em_017,,Homemade Tangent Galvanometer,Frank F. Almy,,"At the time Frank Almy began teaching physics at Grinnell College in 1893, the tangent galvanometer was an important part of the equipment of any physics laboratory. This is a tangent galvanometer that Professor Almy made. The date is not known, but it probably was before 1900. The compass in the center is a modern instrument; we do not know what compass Professor Almy used.",Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_017,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_017.jpg,https://dgobjects.blob.core.windows.net/smalls/em_017.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_017.jpg,,,
em_018,,Galvanometer Telescope Scale,,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_018,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_018.jpg,https://dgobjects.blob.core.windows.net/smalls/em_018.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_018.jpg,,,
em_019,,Wall Mounted Galvanometer,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_019,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_019.jpg,https://dgobjects.blob.core.windows.net/smalls/em_019.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_019.jpg,,,
em_021,,Simple Astatic Galvanometer,,,"Astatic means that the instrument is constructed in a way that minimizes the effect of the earth's magnetic field. Electrical current being measured passes through coils and produces a magnetic field which causes the magnetized needle suspended above the card to rotate. Not visible is a second needle, rigidly attached to the one above, which hangs below the card in a region where the magnetic field is the opposite of the field above. That needle has the opposite polarity from the one above, so that the earth's field acting on both needles has negligible effect.",Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_021,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_021.jpg,https://dgobjects.blob.core.windows.net/smalls/em_021.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_021.jpg,,,
em_022,,Differential Thermopile,,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_022,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_022.jpg,https://dgobjects.blob.core.windows.net/smalls/em_022.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_022.jpg,,,
em_023,,Galvanometer with Wooden Case,Weston Electric Instrument Co.,,Model 375,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_023,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_023.jpg,https://dgobjects.blob.core.windows.net/smalls/em_023.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_023.jpg,,,
em_024,,Galvanometer with Wooden Case,Leeds and Northrup Co.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_024,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_024.jpg,https://dgobjects.blob.core.windows.net/smalls/em_024.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_024.jpg,,,
em_025,,Tangent Galvanometer,James W. Queen & Co.,,"The base of this tangent galvanometer is marked ""Queen & Co., Makers, Phila."" The date of purchase is not known.",Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_025,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_025.jpg,https://dgobjects.blob.core.windows.net/smalls/em_025.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_025.jpg,,,
em_026,,Homemade Galvanometer,,,,Electricity_and_Magnetism,Galvanometers,Located in display case G1a,,,,em_026,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_026.jpg,https://dgobjects.blob.core.windows.net/smalls/em_026.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_026.jpg,,,
em_027,,Homemade Galvanometer,Frank F. Almy,,"When Frank Almy came to Grinnell College in 1893 to teach physics, laboratory equipment was not as readily available as it was later. Probably the cost of equipment also placed a severe constraint on purchases. Almy made a number of galvanometers, some of which survive. One of those galvanometers is shown here. It had a mirror attached to small magnets suspended between coils.",Electricity_and_Magnetism,Galvanometers,Located in display case G1a,,,,em_027,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_027.jpg,https://dgobjects.blob.core.windows.net/smalls/em_027.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_027.jpg,,,
em_028,,Astatic Galvanometer with Glass Dome,,,A galvanometer is a device for detecting electric current. The galvanometer pointer deflection is from electric current passing through a coil immersed in a magnetic field from permanent magnets.,Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_028,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_028.jpg,https://dgobjects.blob.core.windows.net/smalls/em_028.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_028.jpg,,,
em_029,,Helixon Stand,,1900,"In a listing of physics equipment from around 1900, this device is called a ""Helixon Stand."" The term ""helix"" was used to describe a coil of wire through which an electrical current could be passed in order to magnetize a piece of steel passing through the coil. This appears to be such a helix, and perhaps Helixon was a trade name.",Electricity_and_Magnetism,,Display Case G1a,,,,em_029,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_029.jpg,https://dgobjects.blob.core.windows.net/smalls/em_029.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_029.jpg,,,
em_030,,Type S Test Set,Leeds and Northrup Co.,,Test Set 5300,Electricity_and_Magnetism,,Display Case G1a,,,,em_030,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_030.jpg,https://dgobjects.blob.core.windows.net/smalls/em_030.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_030.jpg,,,
em_031,,Galvanometer,GM Laboratories Inc.,,,Electricity_and_Magnetism,Galvanometers,Display Case G1a,,,,em_031,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_031.jpg,https://dgobjects.blob.core.windows.net/smalls/em_031.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_031.jpg,,,
em_032,,Telescope with Scale,The Willyoung and Gibson Co.,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_032,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_032.jpg,https://dgobjects.blob.core.windows.net/smalls/em_032.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_032.jpg,,,
em_034,,Demonstration Electric Motor,James W. Queen & Co.,,"This demonstration electric motor was purchased from Queen & Company, but the date is not known. Probably it was before 1900.",Electricity_and_Magnetism,,Display Case G1a,,,,em_034,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_034.jpg,https://dgobjects.blob.core.windows.net/smalls/em_034.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_034.jpg,,,
em_035,,Hollow Coil with Orange Covering,,,,Electricity_and_Magnetism,,Display Case G1a,,,,em_035,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_035.jpg,https://dgobjects.blob.core.windows.net/smalls/em_035.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_035.jpg,,,
em_036,,Induction Coil and Interrupter,,1846,"This piece of equipment dates from at least 1846. It was brought when the college moved from Davenport to Grinnell in that year.
 
 
 
 This is an induction coil with a core made of iron wires--perhaps knitting needles. The primary circuit included the base which looks like part of rasp and an iron bar on the end of a wire. When the iron bar was dragged over the toothed base, the primary circuit was broken and remade many times quite rapidly. The rapid start and stop of the primary circuit induced a current in the secondary winding.",Electricity_and_Magnetism,,Display Case G1a,,,,em_036,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_036.jpg,https://dgobjects.blob.core.windows.net/smalls/em_036.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_036.jpg,,,
em_037,,Galvanometer with Three Horseshoe Magnets,,,These two galvanometers each have three horseshoe magnets. The coil beside each magnet should be suspended vertically between the poles of the magnets.,Electricity_and_Magnetism,Galvanometers,Storage Location Prep Room,,,,em_037,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_037.jpg,https://dgobjects.blob.core.windows.net/smalls/em_037.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_037.jpg,,,
em_039,,Kelvin's Astatic Galvanometer,James W. Queen & Co.,1900,"This is a very sensitive galvanometer, patterned after one built by Lord Kelvin. This type galvanometer is capable of detecting a current as small as 10 picoamperes for a deflection of 1 mm at a distance of 1 m.
 
 
 
 Within each of the two brass cylinders are two facing coils, and in the center of the cylinder, betrween the coils, is a small piece of mica with five short magnetized needles glued to it. On each mica flake the needles are all turned the same way, but the two sets are oppositely directed in order to minimize the effect of the earth's magnetic field. The two sheets of mica are rigidly attached together and to a mirror between the cylinders, and mica and mirror are all suspended by a fine fiber. (""Astatic"" refers to the fact that the design minimizes the effect of the earth's magnetic field.)
 
 
 
 This instrument was purchased from Queen & Company for $30, probably near 1900.",Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_039,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_039.jpg,https://dgobjects.blob.core.windows.net/smalls/em_039.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_039.jpg,,,
em_040,,Astatic Galvanometer,,,,Electricity_and_Magnetism,Galvanometers,Display Case G1b,,,,em_040,image,image/jpg,,,,image,https://dgobjects.blob.core.windows.net/objs/og/em_040.jpg,https://dgobjects.blob.core.windows.net/smalls/em_040.jpg,https://dgobjects.blob.core.windows.net/thumbs/em_040.jpg,,,
